route_id,trip_id,stop_id,stop_name,stop_lat,stop_lon,arrival_time,departure_time
R1,R1_T0,100,Stop_100,28.587454011884738,77.14507143064098,08:43:00,08:43:08
R1,R1_T0,101,Stop_101,28.623199394181142,77.1098658484197,08:45:20,08:45:33
R1,R1_T0,102,Stop_102,28.565601864044247,77.06559945203361,08:49:38,08:49:50
R1,R1_T0,103,Stop_103,28.555808361216823,77.13661761457749,08:53:01,08:53:09
R1,R1_T0,104,Stop_104,28.610111501174323,77.1208072577796,09:00:55,09:01:02
R1,R1_T0,105,Stop_105,28.55205844942958,77.14699098521619,09:08:04,09:08:22
R1,R1_T0,106,Stop_106,28.633244264080044,77.07123391106782,09:10:38,09:10:43
R1,R1_T0,107,Stop_107,28.568182496720713,77.06834045098533,09:13:30,09:13:41
R1,R1_T1,100,Stop_100,28.587454011884738,77.14507143064098,08:09:00,08:09:05
R1,R1_T1,101,Stop_101,28.623199394181142,77.1098658484197,08:15:52,08:16:03
R1,R1_T1,102,Stop_102,28.565601864044247,77.06559945203361,08:24:09,08:24:27
R1,R1_T1,103,Stop_103,28.555808361216823,77.13661761457749,08:28:19,08:28:38
R1,R1_T1,104,Stop_104,28.610111501174323,77.1208072577796,08:35:39,08:35:52
R1,R1_T1,105,Stop_105,28.55205844942958,77.14699098521619,08:44:46,08:44:51
R1,R1_T1,106,Stop_106,28.633244264080044,77.07123391106782,08:53:19,08:53:29
R1,R1_T1,107,Stop_107,28.568182496720713,77.06834045098533,09:01:26,09:01:44
R1,R1_T2,100,Stop_100,28.587454011884738,77.14507143064098,07:11:00,07:11:09
R1,R1_T2,101,Stop_101,28.623199394181142,77.1098658484197,07:14:59,07:15:14
R1,R1_T2,102,Stop_102,28.565601864044247,77.06559945203361,07:18:06,07:18:13
R1,R1_T2,103,Stop_103,28.555808361216823,77.13661761457749,07:23:27,07:23:35
R1,R1_T2,104,Stop_104,28.610111501174323,77.1208072577796,07:28:38,07:28:54
R1,R1_T2,105,Stop_105,28.55205844942958,77.14699098521619,07:36:03,07:36:16
R1,R1_T2,106,Stop_106,28.633244264080044,77.07123391106782,07:45:09,07:45:15
R1,R1_T2,107,Stop_107,28.568182496720713,77.06834045098533,07:53:28,07:53:47
R1,R1_T3,100,Stop_100,28.587454011884738,77.14507143064098,06:31:00,06:31:17
R1,R1_T3,101,Stop_101,28.623199394181142,77.1098658484197,06:33:57,06:34:11
R1,R1_T3,102,Stop_102,28.565601864044247,77.06559945203361,06:43:15,06:43:31
R1,R1_T3,103,Stop_103,28.555808361216823,77.13661761457749,06:50:26,06:50:37
R1,R1_T3,104,Stop_104,28.610111501174323,77.1208072577796,06:58:37,06:58:44
R1,R1_T3,105,Stop_105,28.55205844942958,77.14699098521619,07:01:07,07:01:19
R1,R1_T3,106,Stop_106,28.633244264080044,77.07123391106782,07:09:54,07:10:08
R1,R1_T3,107,Stop_107,28.568182496720713,77.06834045098533,07:12:48,07:13:00
R1,R1_T4,100,Stop_100,28.587454011884738,77.14507143064098,06:25:00,06:25:17
R1,R1_T4,101,Stop_101,28.623199394181142,77.1098658484197,06:29:39,06:29:58
R1,R1_T4,102,Stop_102,28.565601864044247,77.06559945203361,06:37:23,06:37:39
R1,R1_T4,103,Stop_103,28.555808361216823,77.13661761457749,06:41:02,06:41:18
R1,R1_T4,104,Stop_104,28.610111501174323,77.1208072577796,06:46:19,06:46:30
R1,R1_T4,105,Stop_105,28.55205844942958,77.14699098521619,06:54:13,06:54:26
R1,R1_T4,106,Stop_106,28.633244264080044,77.07123391106782,07:02:25,07:02:32
R1,R1_T4,107,Stop_107,28.568182496720713,77.06834045098533,07:09:43,07:09:53
R1,R1_T5,100,Stop_100,28.587454011884738,77.14507143064098,07:02:00,07:02:10
